alpha,gamma,reached destination,mistakes,rewards
1,0.1,93,101,1118
1,0.2,94,77,1150
1,0.3,92,81,1115.5
1,0.4,91,69,1118.5
1,0.5,90,61,1117
1,0.6,86,45,1078.5
1,0.7,83,72,1079.5
1,0.8,80,100,1025.5
1,0.9,57,273,789.5
0.1,0.1,83,161,1048.5
0.1,0.2,94,41,1150
0.1,0.3,96,55,1178.5
0.1,0.4,96,38,1178.5
0.1,0.5,97,45,1180
0.1,0.6,92,62,1148.5
0.1,0.7,97,54,1177
0.1,0.8,95,48,1170
0.1,0.9,94,48,1170
0.01,0.1,55,425,781
0.01,0.2,77,135,979.5
0.01,0.3,96,43,1168.5
0.01,0.4,99,41,1200
0.01,0.5,97,50,1170
0.01,0.6,95,38,1147
0.01,0.7,99,44,1190
0.01,0.8,98,37,1188.5
0.01,0.9,94,56,1160
0.001,0.1,98,40,1180
0.001,0.2,95,45,1158.5
0.001,0.3,96,40,1158.5
0.001,0.4,99,57,1200
0.001,0.5,97,44,1168.5
0.001,0.6,88,41,1090
0.001,0.7,88,59,1090
0.001,0.8,88,55,1077
0.001,0.9,86,44,1080
