alpha,gamma,reached destination,mistakes
1,0.1,94,91
1,0.2,97,50
1,0.3,95,51
1,0.4,92,61
1,0.5,92,61
1,0.6,94,51
1,0.7,86,81
1,0.8,73,128
1,0.9,60,216
0.1,0.1,85,156
0.1,0.2,98,38
0.1,0.3,93,63
0.1,0.4,96,53
0.1,0.5,97,53
0.1,0.6,97,45
0.1,0.7,97,43
0.1,0.8,92,67
0.1,0.9,97,46
0.01,0.1,52,508
0.01,0.2,91,75
0.01,0.3,94,35
0.01,0.4,98,51
0.01,0.5,96,53
0.01,0.6,96,48
0.01,0.7,94,45
0.01,0.8,98,47
0.01,0.9,95,47
0.001,0.1,95,44
0.001,0.2,93,45
0.001,0.3,97,46
0.001,0.4,96,51
0.001,0.5,98,44
0.001,0.6,95,43
0.001,0.7,95,53
0.001,0.8,95,34
0.001,0.9,94,55
